421;253200080;JEMIOŁOWO;Pasłęka (56)
422;351190465;ŁÓDŹ-LUBLINEK;NER (1832)
423;250190180;PIWOŃ;Przemsza (212)
424;250210110;RAKÓW;Czarna (2178)
425;251150180;TOMASZÓW BOLESŁAWIECKI;Bobrzyca (1638)
426;349190600;BIELSKO-BIAŁA;Biała (2114)
427;354170120;ŁEBA;Łeba (476)
428;253140040;TRZEBIEŻ;Zalew Szczeciński (319)
429;251150110;ŻAGAŃ;Bóbr (16)
430;250150080;STARA KAMIENICA;Kamienica (1632)
431;250150090;ŚWIERADÓW-ZDRÓJ;Kwisa (166)
432;250180250;BRYNICA;Brynica (2126)
433;249190010;JAWISZOWICE;Wisła (2)
434;253150020;WITNO;Cieśnina Dziwna (35)
435;250190080;WĄSOSZ;Pilica (254)
436;254180130;GORĘCZYNO;Martwa Wisła (48)
437;253180170;NOWY JASINIEC;Brda (292)
438;253170030;RÓŻKI-DĘBIE;Brda (292)
439;254160040;JEŻYCZKI;Wieprza (46)
440;254160060;SIERAKOWO;Wieprza (46)
441;253160040;GRZMIĄCA;Parsęta (44)
442;254160080;POLANÓW;Wieprza (46)
443;250190160;LGOTA GÓRNA;Warta (18)
444;253180020;RADOSTOWO;Wisła (2)
445;254170190;SŁUPSK;Słupia (472)
446;253190260;OSTROWITE;Drwęca (28)
447;249180010;PSZCZYNA;Pszczynka (2116)
448;250150340;BOROWICE;Kacza (162886)
449;250150350;PODGÓRZYN;Podgórna (16288)
450;254190120;KMIECIN;Szkarpawa (514)
451;252230110;HAJNÓWKA;Leśna (26652)
452;252180080;KOŁUDA WIELKA;Noteć (188)
453;252170210;KÓRNIK;Warta (18)
454;252150050;KRZYŻ;Noteć (188)
455;252160160;PAPROĆ;Obra (1878)
456;252160230;WIELICHOWO;Obra (1878)
457;253230160;SUPRAŚL;Supraśl (2616)
458;249190780;GUBAŁÓWKA;Wielki Rogoźnik (214116)
459;249190790;RATUŁÓW;Wielki Rogoźnik (214116)
460;249190880;WADOWICE;Skawa (2134)
461;249200950;SZAFLARY;Biały Dunajec (21412)
462;249210340;KREMPNA;Wisłoka (218)
463;250190510;PIWOŃ;Przemsza (212)
464;250220220;JAROSŁAW;San (22)
465;250160590;DŁUGOPOLE-ZDRÓJ;Nysa Kłodzka (12)
466;354180155;GDAŃSK-ŚWIBNO;Wisła (2)
467;253230170;NOWOSIÓŁKI;Supraśl (2616)
468;249190770;STRACONKA;Biała (2114)
469;252160110;SZAMOTUŁY-BABORÓWKO;Sama (1872)
470;249180150;WAPIENICA;Wapienica (21128)
471;250180380;SUKOWICE;Cisek (11594)
472;250200370;KONIECZNO;Nida (216)
473;253170210;CHRZĄSTOWO;Noteć (188)
474;251190220;DOBRYSZYCE;Widawka (182)
475;252140160;TRZCIŃSKO-ZDRÓJ;Rurzyca (1886592)
476;251160360;GŁOGÓW;Odra (1)
477;251150410;ŚWIERZAWA;Kaczawa (138)
478;251200270;DĄBRÓWKA STARA;Pilica (254)
479;251150390;ZŁOTNIKI LUBAŃSKIE;Zb. Złotniki (166513)
480;250160320;OSTROSZOWICE;Jadkowa (12322)
